date,Arthaud_2022,Poutou_2022,Melenchon_2022,Hamon_2022,Macron_2022,Lassalle_2022,Fillon_2022,DupontAignan_2022,LePen_2022,Asselineau_2022,Cheminade_2022,Wauquiez_2022,Faure_PS_2022,Baroin_2022,Jadot_2022,Hidalgo_2022,Bertrand_2022,Roussel_2022,Lagarde_2022
2017-10-18,1.0,1.5,18.0,7.0,28.0,1.5,15.0,5.0,21.5,1.0,0.5,-100,-100,-100,-100,-100,-100,-100,-100
2018-04-16,0.5,1.0,16.5,6.5,34.5,1.0,12.0,6.0,23.0,1.0,-100,8.0,-100,-100,-100,-100,-100,-100,-100
2018-12-13,1.25,1.0,13.5,8.25,26.25,3.0,13.0,7.0,27.25,1.0,-100,10.0,-100,-100,-100,-100,-100,-100,-100
2019-02-02,-100,1.0,12.0,6.0,30.0,2.0,-100,6.0,27.0,1.0,-100,8.0,3.0,-100,-100,-100,-100,-100,-100
2019-05-28,1.0,1.0,9.0,-100,30.0,1.0,-100,5.0,28.0,1.0,-100,8.0,4.0,-100,-100,-100,-100,-100,-100
2019-10-29,0.5,3.0,13.0,-100,27.5,-100,-100,6.5,27.5,1.5,-100,-100,-100,9.5,6.5,-100,-100,-100,-100
2019-10-30,0.5,1.0,11.0,-100,27.0,1.5,-100,6.5,28.0,1.0,-100,-100,2.5,11.0,7.5,-100,-100,-100,-100
2020-06-19,1.0,0.5,12.0,-100,28.0,1.5,-100,5.0,27.0,0.5,-100,-100,3.0,12.0,8.0,-100,-100,-100,-100
2020-07-01,1.0,2.5,11.5,-100,31.0,-100,-100,5.5,24.5,1.0,-100,-100,2.5,12.0,8.5,-100,-100,-100,-100
2020-07-03,1.0,3.0,12.0,-100,27.0,-100,-100,6.0,25.0,1.0,-100,-100,3.0,14.0,8.0,-100,-100,-100,-100
2020-10-01,-100,-100,11.0,-100,24.0,-100,-100,6.0,25.0,-100,-100,-100,5.0,14.0,8.0,-100,-100,-100,-100
2021-01-20,1.0,1.0,11.0,-100,24.0,-100,-100,7.0,26.0,1.0,-100,-100,-100,-100,7.0,6.0,16.0,-100,-100
2021-01-28,1.0,1.0,10.0,-100,24.0,-100,-100,7.0,26.0,-100,-100,-100,-100,-100,7.5,9.0,14.5,-100,-100
2021-03-04,1.0,1.0,11.0,-100,25.0,-100,-100,6.0,25.0,1.0,-100,-100,-100,-100,7.0,6.0,15.0,1.0,-100
2021-03-11,1.0,1.0,10.0,-100,24.0,1.5,-100,4.0,28.0,-100,-100,-100,-100,-100,6.0,8.0,14.0,-100,-100
2021-04-08,-100,1.0,11.0,-100,24.0,1.0,-100,5.0,25.0,-100,-100,-100,-100,-100,6.0,7.0,16.0,-100,-100
2021-04-14,-100,2.0,11.0,-100,25.0,2.0,-100,5.0,26.0,1.0,-100,-100,-100,-100,6.0,5.0,15.0,2.0,-100
2021-04-19,1.0,1.0,11.0,-100,26.0,0.5,-100,5.0,26.0,1.0,-100,-100,-100,-100,6.0,6.0,15.0,-100,-100
2021-05-17,1.0,1.0,12.0,-100,25.0,1.0,-100,4.0,27.0,1.0,-100,-100,-100,-100,6.0,6.0,14.0,-100,-100
2021-05-20,0.5,1.0,11.0,-100,25.0,1.5,-100,5.0,27.0,-100,-100,-100,-100,-100,6.0,6.0,15.0,-100,-100
2021-05-24,1.0,1.0,13.0,-100,25.0,1.0,-100,4.0,27.0,-100,-100,-100,-100,-100,6.0,6.0,14.0,1.0,-100
2021-05-31,1.0,1.0,12.0,-100,25.0,1.0,-100,4.0,28.0,-100,-100,-100,-100,-100,6.0,6.0,14.0,1.0,-100
2021-06-07,1.0,1.0,11.0,-100,25.0,1.0,-100,3.0,28.0,1.0,-100,-100,-100,-100,6.0,7.0,14.0,1.0,1.0
2021-06-09,0.5,1.0,9.0,-100,26.0,0.5,-100,3.5,28.0,-100,-100,-100,-100,-100,5.5,5.0,13.5,2.0,0.5
2021-06-14,1.0,1.0,11.0,-100,26.0,1.0,-100,3.0,27.0,1.0,-100,-100,-100,-100,6.0,7.0,13.0,2.0,1.0
2021-06-21,1.0,1.0,10.0,-100,25.0,1.0,-100,4.0,26.0,1.0,-100,-100,-100,-100,7.0,6.0,16.0,1.0,1.0
2021-06-26,-100,-100,7.0,-100,24.0,-100,-100,5.0,24.0,-100,-100,-100,-100,-100,10.0,8.0,18.0,2.5,-100
2021-06-28,1.0,1.0,10.0,-100,25.0,1.0,-100,4.0,24.0,1.0,-100,-100,-100,-100,7.0,6.0,17.0,1.0,1.0
2021-06-30,1.0,1.0,9.0,-100,29.0,2.0,-100,5.0,25.0,1.0,-100,-100,-100,-100,6.0,5.0,14.0,1.0,0.5
2021-07-02,0.5,1.0,7.0,-100,24.0,2.0,-100,4.0,26.0,-100,-100,-100,-100,-100,7.0,6.0,18.0,3.5,0.5
2021-07-05,1.0,1.0,10.0,-100,24.0,1.0,-100,4.0,24.0,1.0,-100,-100,-100,-100,7.0,7.0,17.0,2.0,0.5
2021-08-23,1.0,1.0,11.0,-100,24.0,1.0,-100,4.0,24.0,1.0,-100,-100,-100,-100,6.0,7.0,16.0,2.0,1.0
2021-08-30,1.0,1.0,12.0,-100,24.0,1.0,-100,4.0,23.0,1.0,-100,-100,-100,-100,6.0,7.0,16.0,3.0,0.5
2021-09-03,1.5,-100,8.0,-100,25.0,-100,-100,4.0,22.0,-100,-100,-100,-100,-100,10.0,9.0,17.0,1.5,-100
